id,region,region_url,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
7047264905,14,13,12000,2016,,3,3,2,87000,0,0,1,1,12,0,6,37.0029,-112.966
7047239908,14,13,2895,2003,8,,5,2,,0,0,1,,,9,6,37.0979,-113.233
7047217351,14,13,7900,2005,22,0,5,2,130940,0,0,1,,8,10,6,37.1756,-113.608
7047169493,14,13,10500,1986,7,2,6,2,46500,0,0,2,,2,9,6,36.8113,-114.123
7047151304,14,13,8600,2008,22,0,5,2,131000,0,0,2,2,7,10,6,37.1756,-113.608
7047129494,14,13,1600,1995,37,,,2,,0,0,,,7,,6,37.179,-113.707
7047112588,14,13,5900,2006,32,0,6,2,148000,0,0,2,1,9,10,6,35.9917,-115.107
7047069378,14,13,8000,2013,7,3,3,2,89000,0,0,1,2,7,5,6,37.1204,-113.609
7047045792,14,13,5200,2004,9,0,6,2,127465,0,0,0,1,8,0,6,37.1756,-113.608
7047040463,14,13,9600,2006,32,0,6,2,97205,0,0,2,1,9,10,6,37.1756,-113.608
7047030355,14,13,14255,2014,27,0,3,2,34265,0,0,1,2,1,10,6,37.1756,-113.608
7047022036,14,13,14995,2015,37,3,3,3,43125,0,0,1,2,7,10,6,37.1756,-113.608
7047018081,14,13,24800,2011,32,0,5,2,150505,0,0,0,1,9,10,6,37.1756,-113.608
7047009599,14,13,14255,2008,32,0,6,2,77235,0,0,2,1,9,10,6,37.1756,-113.608
7046983061,14,13,0,2013,,,,0,,0,1,,,,,6,35.4754,-120.664
7046811318,14,13,31000,2016,12,0,6,2,34000,0,0,2,2,2,8,6,37.1364,-113.505
7046652169,14,13,2600,1986,37,2,3,2,187000,0,1,0,0,6,1,6,37.1756,-113.608
7045999621,14,13,21900,2018,15,0,3,2,,0,1,1,0,2,10,6,36.2783,-115.02
7046631141,14,13,5995,2013,29,0,5,2,,0,0,0,2,8,0,6,37.1756,-113.608
7046579734,14,13,1500,1998,12,2,6,2,,0,0,2,,,,6,37.1364,-113.505
7046425352,14,13,3999,2007,12,0,5,2,98430,0,0,1,,7,9,6,37.1364,-113.505
7046413351,14,13,22500,2014,19,,,2,65000,0,1,,1,12,5,6,37.0831,-113.558
7046317530,14,13,500,1999,,1,3,2,258000,0,0,0,,7,8,6,37.7698,-111.598
7046181407,14,13,5000,2001,7,0,6,2,,0,0,0,1,6,5,6,37.0979,-113.233
7046162051,14,13,4500,1997,12,2,6,0,250000,0,0,2,1,6,10,6,37.0995,-113.61
7046091125,14,13,15350,2017,29,3,3,2,40000,0,0,1,2,7,5,6,37.0979,-113.233
7046089652,14,13,3350,1993,22,2,5,2,127000,0,0,2,2,2,4,6,37.0831,-113.558
7045978404,14,13,8300,2011,12,0,5,2,109050,0,0,2,2,2,8,6,37.1756,-113.608
7045972643,14,13,23900,2013,4,0,6,2,,0,1,0,,8,5,6,36.2783,-115.02
7045957974,14,13,2000,1998,13,1,6,2,214048,0,0,0,1,8,10,6,37.1282,-113.676
7045888501,14,13,2000,1977,7,1,6,2,100000,0,0,0,1,6,8,6,37.0491,-113.612
7045560214,14,13,10700,2003,12,2,5,0,315000,0,1,0,,9,2,6,36.5935,-114.468
7045486147,14,13,18995,2008,12,,6,0,170909,0,0,0,,6,10,6,37.1756,-113.608
7045485954,14,13,18495,2007,7,,6,0,148411,0,0,,,6,2,6,37.1756,-113.608
7045485710,14,13,10295,2015,8,,3,2,65731,0,0,1,,7,10,6,37.1756,-113.608
7045485582,14,13,18995,2017,0,,3,2,39238,0,0,1,,7,10,6,37.1756,-113.608
7045485346,14,13,25795,2011,13,,6,0,190330,0,0,0,,6,10,6,37.1756,-113.608
7045485238,14,13,24495,2016,15,,5,2,75186,0,0,,,8,1,6,37.1756,-113.608
7045485012,14,13,10795,2008,35,,3,2,119433,0,1,,,11,10,6,37.1756,-113.608
7045484873,14,13,18795,2016,9,,5,2,47639,0,0,2,,12,0,6,37.1756,-113.608
